Clue,Answer
Ada,Boise
Adams,Council
Bannock,Pocatello
Bear Lake,Paris
Benewah,St. Maries
Bingham,Blackfoot
Blaine,Hailey
Boise,Idaho City
Bonner,Sandpoint
Bonneville,Idaho Falls
Boundary,Bonners Ferry
Butte,Arco
Camas,Fairfield
Canyon,Caldwell
Caribou,Soda Springs
Cassia,Burley
Clark,Dubois
Clearwater,Orofino
Custer,Challis
Elmore,Mountain Home
Franklin,Preston
Fremont,Saint Anthony
Gem,Emmett
Gooding,Gooding
Idaho,Grangeville
Jefferson,Rigby
Jerome,Jerome
Kootenai,Coeur d'Alene
Latah,Moscow
Lemhi,Salmon
Lewis,Nezperce
Lincoln,Shoshone
Madison,Rexburg
Minidoka,Rupert
Nez Perce,Lewiston
Oneida,Malad City
Owyhee,Murphy
Payette,Payette
Power,American Falls
Shoshone,Wallace
Teton,Driggs
Twin Falls,Twin Falls
Valley,Cascade
Washington,Weiser
1A,Ada
2A,Adams
1B,Bannock
2B,Bear Lake
3B,Benewah
4B,Bingham
5B,Blaine
6B,Boise
7B,Bonner
8B,Bonneville
9B,Boundary
10B,Butte
1C,Camas
2C,Canyon
3C,Caribou
4C,Cassia
5C,Clark
6C,Clearwater
7C,Custer
E,Elmore
1F,Franklin
2F,Fremont
1G,Gem
2G,Gooding
I,Idaho
1J,Jefferson
2J,Jerome
K,Kootenai
1L,Latah
2L,Lemhi
3L,Lewis
4L,Lincoln
1M,Madison
2M,Minidoka
N,Nez Perce
1O,Oneida
2O,Owyhee
1P,Payette
2P,Power
S,Shoshone
1T,Teton
2T,Twin Falls
V,Valley
W,Washington
